"Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"You always have a problem with Modi samjhe kuch kare ya na kare tumhe hamesha problem hai tumhi bana diye hote itna shameless ho sakta hai tu maine socha nahi tha you are purely anti national better be a Pakistani if you hate hindus so much bastard","yatin singh","0","0","2019-09-15T11:14:40.000Z","Ugz8qg34p6b1NEGaINR4AaABAg","None","FALSE","6sbPGzrXbts"
"78k dislikes from andhbhakts.","Edge Life","0","0","2019-09-15T09:03:34.000Z","UgymnEYYLGDmnv_5z954AaABAg","None","FALSE","6sbPGzrXbts"
"Now that's logic <U+0001F44C><U+0001F44C><U+0001F44C>","AAREN M.S","0","3","2019-09-15T08:30:34.000Z","UgzGgugSvFZ6T_z7j7h4AaABAg","None","FALSE","6sbPGzrXbts"
"fake fats and shity assumptions","vishu goyal","1","0","2019-09-15T07:58:21.000Z","UgxFWq7Rbfk3JkvxXZ94AaABAg","None","FALSE","6sbPGzrXbts"
"<U+0915><U+094D><U+092F><U+093E> <U+092C><U+093E><U+0924><U+0947><U+0902> <U+092C><U+094B><U+0932> <U+0930><U+0939><U+0947> <U+0939><U+094B> <U+0906><U+092A>? Statue of unity <U+0928><U+0947> 2 <U+0915><U+0930><U+094B><U+095C> <U+0915><U+093E> revenue <U+0915><U+092E><U+093E><U+092F><U+093E> <U+0939><U+0948> within 10 days. <U+092F><U+0947> <U+0938><U+093F><U+0930><U+094D><U+095E> ticket price <U+0939><U+0948> <U+0916><U+093E><U+0928><U+093E> transportation <U+0915><U+093E> figures included <U+0928><U+0939><U+0940><U+0902> <U+0939><U+0948><U+0964> More than 27000 people were standing in lines( total distance of que was 10 km). The carrying capacity of the lifts were 5000 people per day. Govt <U+0915><U+094B> address <U+0915><U+0930><U+0928><U+093E> <U+092A><U+095C><U+093E> crowd <U+0915><U+094B><U+0964> <U+092F><U+0947> <U+0924><U+094B> <U+0939><U+0948><U+0930><U+093E><U+0928><U+0940> <U+0915><U+0940> <U+092C><U+093E><U+0924> <U+0939><U+0948> <U+0915><U+093F> after so many years of his(sardar Patel) demise people still connect to him. <U+0906><U+092A> <U+0915><U+094D><U+092F><U+093E> <U+092C><U+094B><U+0932> <U+0930><U+0939><U+0947> <U+0939><U+094B> 120 <U+0938><U+093E><U+0932> <U+0932><U+0917> <U+091C><U+093E><U+090F><U+0902><U+0917><U+0947> <U+0907><U+0938><U+0947><U+0964> And to my fellow citizens please if you are reading this it's my humble request please don't make your opinion<U+0938> based on such false Allegations and videos full  lies. The facts and figures provided by Mr rathi are not true . Stop misleading the public sir.","Rakshit Bisht","0","0","2019-09-15T07:42:15.000Z","UgzwCbq-XyOvacJHJC54AaABAg","None","FALSE","6sbPGzrXbts"
"Hawa mahal city ma ha sucess ha","Hritik Hasrajani","0","0","2019-09-15T05:54:30.000Z","UgxLQ1bSJy5JcHxm6qJ4AaABAg","None","FALSE","6sbPGzrXbts"
"I agreed with your points.....","<U+0930><U+0923><U+091C><U+0940><U+0924> <U+091A><U+0935><U+094D><U+0939><U+093E><U+0923>","0","0","2019-09-15T05:08:29.000Z","UgyNodrsyYFymIB8Qt94AaABAg","None","FALSE","6sbPGzrXbts"
"Ek dam faltu waste of money","Md Imran Haider","0","4","2019-09-15T05:04:13.000Z","UgxNK-gsdSPrqdlsUD94AaABAg","None","FALSE","6sbPGzrXbts"
"Awsome analysis..","sunil goyal","0","0","2019-09-15T04:34:22.000Z","UgyF6GQesPcLIyc8UVl4AaABAg","None","FALSE","6sbPGzrXbts"
"<U+0930><U+093E><U+091C><U+0938><U+094D><U+0925><U+093E><U+0928> <U+092E><U+0947><U+0902> <U+0915><U+093E><U+0902><U+0917><U+094D><U+0930><U+0947><U+0938> <U+0938><U+0930><U+0915><U+093E><U+0930> <U+0938><U+093F><U+0902><U+091C><U+093E><U+0930><U+0947> <U+091C><U+093E><U+0924><U+0940> <U+0915><U+094B> <U+092C><U+0930><U+092C><U+093E><U+0926> <U+0915><U+0930> <U+0909><U+0928><U+0915><U+0947> <U+091D><U+094B><U+092A><U+0921><U+093C><U+0940> <U+0915><U+094B> <U+0924><U+094B><U+0921><U+093C> <U+0926><U+093F><U+092F><U+093E> <U+0909><U+0928><U+0915><U+093E> <U+0915><U+094D><U+092F><U+093E> <U+0939><U+094B><U+0917><U+093E> <U+092D><U+093E><U+0908>","nani sikar jat","0","0","2019-09-15T04:26:32.000Z","UgxWIUs60L8cdU3jwtZ4AaABAg","None","FALSE","6sbPGzrXbts"
"<U+092D><U+093E><U+0908> <U+092E><U+0928><U+094D><U+0926><U+093F><U+0930> <U+092C><U+091A><U+0947> <U+0939><U+0940> <U+0915><U+0939><U+093E><U+0902> <U+0939><U+0948> <U+091C><U+094B> <U+092C><U+091A><U+0947> <U+0939><U+0948><U+0902> <U+0909><U+0938><U+092A><U+0930> <U+0915><U+094B><U+0902><U+0917><U+094D><U+0930><U+0947><U+0938> <U+0930><U+093E><U+091C><U+0928><U+0940><U+0924><U+093F> <U+0915><U+0930><U+0924><U+0940> <U+0939><U+0948>","nani sikar jat","0","0","2019-09-15T04:22:29.000Z","UgzxIZ9ZfOBlJC7Qqcp4AaABAg","None","FALSE","6sbPGzrXbts"
